district,tahsil,gp_name,ps,gp,sample,Hperf_final,Hperf1_final,Hperf2_final,Hperf3_final,Hperf4_final,Hperf5_final,actionplan_nbprojects2009,actionplan_gpbudget2009,web_hh_employed2009,web_persondays_sc2009,web_persondays_st2009,web_persondays_total2009,web_persondays_women2009,web_hh_employed2010,web_persondays_sc2010,web_persondays_st2010,web_persondays_total2010,web_persondays_women2010,web_exp_unskilled2010,web_exp_skilled2010,web_exp_mat2010,web_exp_adm_tot2010,web_exp_tot2010,web_hh_employed2011,web_persondays_sc2011,web_persondays_st2011,web_persondays_total2011,web_persondays_women2011,web_authorisation2011,web_exp_unskilled2011,web_exp_skilled2011,web_exp_mat2011,web_exp_tax2011,web_exp_adm_tot2011,web_exp_tot2011,web_hh_employed2012,web_persondays_sc2012,web_persondays_st2012,web_persondays_total2012,web_persondays_women2012,web_authorisation2012,web_exp_unskilled2012,web_exp_skilled2012,web_exp_mat2012,web_exp_tax2012,web_exp_adm_tot2012,web_exp_tot2012,web_hh_employed2013,web_persondays_sc2013,web_persondays_st2013,web_persondays_total2013,web_persondays_women2013,web_authorisation2013,web_exp_unskilled2013,web_exp_skilled2013,web_exp_mat2013,web_exp_tax2013,web_exp_adm_tot2013,web_exp_tot2013,web_averagewage2009,web_averagewage2010,web_exp_labor2009,web_exp_material2009,web_exp_admin2009,web_exp_tot2009,web_frac_womendays2009,web_frac_scst2009,web_delay_total2009,web_delay_num_mrolls,web_delay_amtpaid,web_delay_perc,census_tot_pop,census_frac_scst,census_literacy,census_unemployment,census_agri,census_marginal
"Bharatpur","Bayana","BAGREN","BAYANA","BAGRAIN",0,6,3.38,48,54,19,38,4.174387,5.302907,310,4950,0,10.231,5838,244,3340,4075.910112,8.128,5192,6.91783,.95507,4.232329,.1415567,7.8729,262,1787,3295.589744,7.968,4185,0,7.28,3.19,12.34,.1273846,.21951368,22.81,188,2592,3432.054762,5.733,3661,0,2.55,1.39,8.41,.14,.12094972,12.48,96,1324,1111.341772,2.213,1592,0,2.66,.14,3.51,.2792,.10882353,6.32,79.99,85.85,10.25,7.07,0,17.32,.5706187,.4838237,2,9.33333,.617,8.972667,4730,.2059197,.5484143,.5513742,.6154571,.072573
"Bharatpur","Bayana","BAJNA","BAYANA","BAJANA",0,5,3.06,57,46,21,38,3.663562,5.648974,718,10897,50,24.606,15739,295,7342,13,13.425,10619,9.638837,.3245458,4.232329,.1415567,11.6683,515,13301,73,22.859,16199,0,12.3,1.66,8.35,.1273846,.21951368,22.3,489,12361,3432.054762,21.245,16108,0,16.67,.7,4.47,.146875,.12094972,21.84,0,1244.070981,1111.341772,4.122764706,2353.311663,0,4.135314,.2709792,3.827044,.2792,.10882353,6.0092332,0,0,13.64,16.05,0,29.69,.6396407,.4448915,7,6,.8423333,4.495333,2117,.4397733,.4468588,.5663675,.3899782,.2875817
"Bharatpur","Bayana","BARODA","BAYANA","BARODA",1,5,2.92,100,62,5,36,3.850147,5.644386,484,4444,98,10.751,4146,275,5893,952,10.659,6318,9.22108,.33135,4.232329,.1415567,9.55243,204,4612,312,10.702,7239,0,11.89,1.12,4.27,.1273846,.21951368,17.28,143,1333,85,4.373,2773,0,4.95,.21,4.07,.01,.12094972,9.24,85,831,57,1.481,1180,0,1.94,.06,3.827044,.2792,.10882353,2,81.31,87.73,9.25,0,0,9.25,.3856385,.4224723,3,4,.428,7.756,5866,.2565632,.591715,.6287078,.7603306,.2741047
"Bharatpur","Bayana","BARKHERA","BAYANA","BERKHEDA",1,6,3.17,100,60,10,39,3.688879,4.999911,583,4259,462,10.585,4315,194,3971,265,5.245,2973,4.09943,.27596,4.232329,.1415567,4.37539,582,7617,525,14.309,8395,0,13.46,1.98,13.03,.1273846,.21951368,28.47,414,3404,327,7.522,4761,0,7.24,.39,4.42,.146875,.12094972,12.05,170,1495,230,2.209,1804,0,2.93,.09,3.827044,.2792,.10882353,3.01,72.61,78.97,10.05,0,0,10.05,.4076523,.4460085,9,16.3333,.856,8.405334,5266,.414736,.5660843,.5782378,.8027915,.3601981
"Bharatpur","Bayana","MAHLONI","BAYANA","BHAHLONI",1,5,2.95,100,45,5,38,4.204693,6.160046,644,9395,2124,22.476,14959,176,2112,312,5.777,4383,3.74403,.08838,2.57,.1415567,6.40241,457,7494,2823,18.671,13496,0,19.63,1.46,3.71,.1273846,.21951368,24.79,384,6005,1620,11.576,8836,0,10.43,.55,3.9,.146875,.12094972,14.89,133,1531,228,2.216,1889,0,4.135314,.06,1.18,.2792,.10882353,1.24,63.63,65.13,17.77,23.34,0,41.11,.6655543,.5125023,8,7.66667,.8663334,6.065667,6448,.4804591,.5567618,.5173697,.8049486,.4996787
"Bharatpur","Bayana","BRAHMAWAD","BAYANA","BRAHMBAD",1,10,3.39,0,21,5,41,3.970292,5.061645,121,1167,108,4.532,3050,36,214,118,.669,500,.74481,.13916,11.0022,.1415567,11.88617,161,1564,174,3.813,2974,0,4.31,.81,5,.1273846,.21951368,10.12,177,2991,244,6.804,5936,0,8.25,.58,4,.01,.12094972,12.84,168,2476,345,6.432,5732,0,7.93,.33,3.827044,.2792,.10882353,8.26,0,111.33,4.05,.04,0,4.09,.6729921,.2813327,4,2,.2273333,2.754,5970,.3174204,.601005,.6028476,.4736398,.3163222
"Bharatpur","Bayana","DEHGAWAN","BAYANA","DEHGAONWA",1,3,2.75,100,48,25,37,3.332205,5.068904,147,466,40,2.874,1272,480,8682,195,14.963,9837,10.735,.57,4.232329,.1415567,11.305,147,2772,84,4.155,2630,0,5.39,.75,3.77,.05,.21951368,9.96,477,9737,368,19.222,12889,0,23.23,.73,3.34,.146875,.12094972,27.3,90,229,1111.341772,1.862,1191,0,2.36,.08,3.827044,.2792,.10882353,2.44,95.01,97.09,1.95,0,0,1.95,.4425887,.1760612,5,7.33333,.998,4.155,5341,.3237222,.6423891,.4729452,.8586146,.4753108
"Bharatpur","Bayana","DHADREN","BAYANA","DHADHRAIN",1,6,3.45,100,24,20,39,3.871201,6.051383,444,5586,7139,16.648,10558,248,1550,2811,5.772,4297,4.27276,.20136,4.56221,.1415567,9.03633,251,761,2558,4.388,3099,0,5.21,1.56,13.66,.1273846,.21951368,20.43,84,175,672,1.098,727,0,1.27,.1,2.98,.146875,.12094972,4.35,0,1244.070981,1111.341772,4.122764706,2353.311663,0,4.135314,.2709792,3.827044,.2792,.10882353,6.0092332,83.76,85.15,13.29,4.4,0,17.69,.6341903,.7643561,3,2.33333,.14,2.690333,3821,.567129,.5898979,.4640146,.8686523,.6083984
"Bharatpur","Bayana","FARSO","BAYANA","FARSO",0,4,3.18,57,51,21,38,3.401197,5.603962,473,7953,0,15.735,9038,453,13302,4075.910112,18.342,13166,13.57793,.65111,4.232329,.1415567,14.22904,401,8864,3295.589744,11.719,8637,0,10.03,2.19,11.83,.1273846,.21951368,24.04,316,7636,3432.054762,9.171,7220,0,9.32,.66,5.91,.146875,.12094972,15.89,246,2832,1111.341772,3.678,3227,0,4.12,.17,.02,.2792,.10882353,4.3,72.98,74.34,10.8,2.21,0,13.01,.5743883,.5054337,6,9.66667,1.023333,9.935,3356,.3343266,.4982122,.5449941,.8801572,.583497
"Bharatpur","Bayana","GAZIPUR","BAYANA","GAJIPUR",0,6,3.36,64,49,18,37,3.465736,5.384495,555,8148,0,17.17,13662,514,9742,4075.910112,16.728,14280,12.37364,.3077,1.2421,.1415567,13.92344,424,5233,3295.589744,10.442,9088,0,11.06,1.02,4.9,.1273846,.21951368,16.98,389,4237,3432.054762,9.901,8243,0,10.2,.78,4.43,.01,.12094972,15.42,140,1041,1111.341772,2.44,2180,0,1.88,.1,5.13,.22,.10882353,7.33,72.37,82.97,13.91,19.82,0,33.73,.7956902,.4745486,6,7,.605,5.615,4215,.3909846,.4806643,.5864769,.7435456,.4279977
